confName,confId
ACC,1
American Athletic,2
Big 12,5
Big Sky,6
Big South-OVC,7
Big Ten,8
CAA,9
Conference USA,15
FBS Independents,18
FCS Independents,19
MEAC,33
Mid-American,37
Mountain West,41
MVFC,43
NEC,45
Pac-12,55
Patriot,56
SEC,61
Southern,65
Southland,68
Sun Belt,69
SWAC,70
UAC,71
Ohio,72
South Atlantic,73
Mountain East,74
Gulf South,75
Pennsylvania State Athletic,76
CIAA,77
SIAC,78
Mid Atlantic,79
Northern Sun,80
Rocky Mountain,81
American Southwest,82
Great American,83
Empire 8,84
Southern Athletic,85
Mid America,86
Northeast 10,87
GLIAC,88
Great Midwest Athletic,89
Lone Star,90
Wisconsin,91
Pioneer,92
Independent DII,93
NACC,94
MSCAC,95
Landmark Conference,96
Centennial,97
Commonwealth Coast,98
Liberty League,99
USA South,100
Great Lakes,101
Midwest,102
North Coast,103
Old Dominion,104
ECFC,105
NEWMAC,106
New Jersey,107
Presidents',108
Heartland,109
Michigan,110
Upper Midwest,111
So. Cal.,112
American Rivers,113
Minnesota,114
CCIW,115
Northwest,116
Independent DIII,117
Ivy,118
NESCAC,119